name,ontour,playcount,listeners,genre1,genre2,genre3,sex,first_album,age (since 1st album)
Linkin Park,0,408756724,5161460,rock,nu metal,alternative rock,mb,2000.0,23.0
Marshmello,1,40130991,1686531,electronic,dance,trap,m,2016.0,7.0
$uicideboy$,1,208102134,956220,cloud rap,hip hop,trap,mb,2018.0,5.0
Tears for Fears,0,51941227,2687034,new wave,80s,pop,mb,1983.0,40.0
The Smiths,0,298535289,3564563,indie,80s,post punk,mb,1984.0,39.0
Kali Uchis,0,140576106,1808824,rnb,neo soul,soul,f,2018.0,5.0
Rosalía,0,103763160,1141254,pop,flamenco,spain,f,2017.0,6.0
Coldplay,1,543775070,7172542,rock,alternative,alternative rock,mb,2000.0,23.0
Jack Harlow,0,48949415,1174668,rap,hip hop,trap,m,2020.0,3.0
Mac Miller,0,241766629,2451390,hip hop,rap,underground hip hop,m,2011.0,12.0
Kodak Black,1,56780086,1111291,trap,hip hop,rap,m,2017.0,6.0
Queens of the Stone Age,1,186194912,3057719,stoner rock,rock,alternative rock,mfb,1998.0,25.0
Michael Bublé,0,69633707,2688463,jazz,swing,easy listening,m,2001.0,22.0
Ken Carson,1,62119704,443771,trap,cloud rap,rap,m,2021.0,2.0
Slowdive,1,78485773,1314540,shoegaze,dream pop,ambient,mfb,1991.0,32.0
Girl In Red,0,58752778,1445734,indie,dream pop,lo fi,f,2021.0,2.0
Pop Smoke,0,93535415,1085102,drill,rap,trap,m,2020.0,3.0
Talking Heads,0,90713580,2431485,new wave,post punk,80s,mfb,1977.0,46.0
Denzel Curry,0,86829834,1017370,hip hop,rap,trap,m,2013.0,10.0
The Cure,1,252765202,4107244,post punk,new wave,alternative,mb,1979.0,44.0
Elvis Presley,0,104785424,3354339,rock n roll,classic rock,rock,m,1956.0,67.0
TWICE,1,264242003,987539,k pop,pop,girl group,fb,2017.0,6.0
Blondie,0,48417015,2523202,new wave,80s,rock,mfb,1976.0,47.0
Paramore,1,328244792,3979972,rock,pop punk,alternative,mfb,2005.0,18.0
Crystal Castles,0,148329738,2252070,electronic,8 bit,new rave,mfb,2008.0,15.0
pinkpantheress,0,87796385,1534698,rnb,electronic,pop,f,2023.0,0.0
beabadoobee,0,83838616,1266788,indie pop,bedroom pop,indie,f,2020.0,3.0
Miley Cyrus,0,200165443,3646556,pop,disney,dance,f,2007.0,16.0
JPEGMAFIA,0,114363268,771808,hip hop,glitch hop,experimental hip hop,m,2016.0,7.0
Isaiah Rashad,0,47086609,798773,hip hop,rap,underground hip hop,m,2014.0,9.0
Kid Cudi,0,192770252,3748223,hip hop,rap,alternative rap,m,2009.0,14.0
Halsey,0,138276624,1845566,pop,indie pop,indie,f,2015.0,8.0
Tove Lo,0,84911072,1685551,pop,swedish,electronic,f,2014.0,9.0
Billy Idol,0,30836200,1991487,rock,80s,new wave,m,1982.0,41.0
Offset,0,19037653,859521,trap,hip hop,rap,m,2019.0,4.0
Chris Brown,0,88986792,3711876,rnb,hip hop,chris brown,m,2005.0,18.0
Carly Rae Jepsen,1,106115545,2077116,pop,folk,acoustic,f,2008.0,15.0
Guns N' Roses,0,150676852,4151138,hard rock,rock,classic rock,mfb,1987.0,36.0
The Marías,0,30739670,888375,indie,indie pop,dream pop,mfb,2021.0,2.0
Sufjan Stevens,0,204033450,2952305,indie,folk,singer songwriter,m,2000.0,23.0
blink-182,1,243890787,3898515,punk rock,pop punk,punk,mb,1995.0,28.0
Lil Yachty,1,61109583,1101159,trap,hip hop,rap,m,2017.0,6.0
LE SSERAFIM,1,76282529,601461,k pop,pop,na,fb,2023.0,0.0
Don Toliver,1,64228661,1173829,rap,trap,hip hop,m,2020.0,3.0
Childish Gambino,0,172204010,2509443,hip hop,rap,indie,m,2011.0,12.0
Beyoncé,0,385559320,5198753,rnb,pop,soul,f,2003.0,20.0
Hotel Ugly,0,17394411,876131,indie,alternative,usa,m,2023.0,0.0
Men I Trust,0,53471906,1238002,dream pop,indie,indie pop,mfb,2014.0,9.0
Conan Gray,0,106006879,1440665,indie,pop,indie pop,m,2020.0,3.0
Alex G,1,89151931,1049617,lo fi,singer songwriter,indie rock,m,2010.0,13.0
Bring Me the Horizon,1,179019269,1985282,deathcore,metalcore,hardcore,mb,2006.0,17.0
Queen,0,295329331,5618667,classic rock,rock,80s,mb,1973.0,50.0
Aaron May,0,12415135,561761,rap,na,na,m,2019.0,4.0
Charli XCX,0,183417997,1973435,pop,synthpop,electronic,f,2013.0,10.0
ROAR,0,17602488,806182,indie pop,arizona,indie,m,2016.0,7.0
Chase Atlantic,0,72288687,960539,rnb,indie,rock,mb,2017.0,6.0
Metro Boomin,1,115601933,1476293,trap,hip hop,rap,m,2018.0,5.0
M83,0,110054633,2778148,electronic,shoegaze,post rock,mfb,2001.0,22.0
Eyedress,1,27450399,1112672,electronic,experimental,indie,m,2017.0,6.0
Foo Fighters,1,260867870,5097329,rock,alternative rock,grunge,mb,1995.0,28.0
Joey Bada$$,0,67617951,1178342,hip hop,rap,underground hip hop,m,2015.0,8.0
Ive,0,68639426,562875,k pop,pop,na,fb,2023.0,0.0
Dua Lipa,0,183632137,2213580,pop,electropop,synthpop,f,2017.0,6.0
SKI MASK THE SLUMP GOD,0,40552116,859086,hip hop,trap,rap,m,2018.0,5.0
The Goo Goo Dolls,0,10935772,821197,rock,alternative rock,alternative,mb,1987.0,36.0
Mazzy Star,0,48233320,1620967,dream pop,indie,shoegaze,mfb,1990.0,33.0
"Tyler, the Creator",0,449879030,2612923,hip hop,rap,underground hip hop,m,2011.0,12.0
The Police,0,68154413,3219614,rock,classic rock,80s,mb,1978.0,45.0
STRAY KIDS,0,204525147,652028,k pop,pop,hip hop,mb,2020.0,3.0
Brent Faiyaz,1,91145980,1153978,rnb,soul,electronic,m,2017.0,6.0
Labrinth,0,47997429,1824443,electronic,british,rnb,m,2012.0,11.0
Melanie Martinez,1,131732491,1463636,pop,indie,indie pop,f,2015.0,8.0
Megan Thee Stallion,0,74510557,1294954,rap,hip hop,trap,f,2020.0,3.0
AC/DC,0,173083027,3640793,hard rock,classic rock,rock,mb,1975.0,48.0
Boygenius,0,42572505,576768,indie,indie rock,indie folk,fb,2023.0,0.0
Lord Huron,1,33595517,1360937,folk,indie,psychedelic,mfb,2012.0,11.0
Tiësto,1,65634675,2534050,trance,electronic,dance,m,2001.0,22.0
A BOOGIE WIT DA HOODIE,0,56635224,917905,hip hop,rap,american,m,2017.0,6.0
Aphex Twin,0,137528602,2245291,electronic,ambient,experimental,m,1992.0,31.0
Doja Cat,1,248759033,2275554,pop,rnb,rap,f,2018.0,5.0
Charlie Puth,0,92510008,1544789,pop,rnb,soul,m,2016.0,7.0
Ghost,0,84078259,1064020,heavy metal,psychedelic rock,doom metal,mb,2010.0,13.0
Creedence Clearwater Revival,0,85235806,3175577,classic rock,rock,southern rock,mb,1968.0,55.0
Jung Kook,0,247876733,656578,pop,k pop,bts,m,2023.0,0.0
LUCKI,0,104190202,568471,trap,hip hop,rap,m,2019.0,4.0
Foster the People,0,86042314,2781386,indie,indie pop,alternative,mb,2011.0,12.0
The Beatles,0,730752557,5079780,classic rock,rock,british,mb,1963.0,60.0
LIL PEEP,0,170048154,1269350,cloud rap,emo rap,hip hop,m,2017.0,6.0
Kendrick Lamar,1,446291037,3303503,hip hop,rap,west coast,m,2011.0,12.0
John Lennon,0,56033709,3065660,classic rock,rock,singer songwriter,m,1970.0,53.0
Kanye West,0,879809322,6316432,hip hop,rap,rnb,m,2004.0,19.0
Tyla,0,2506482,320312,rock,pop,british,f,2023.0,0.0
Khalid,1,59822637,1566295,rnb,pop,soul,m,2017.0,6.0
